ImgName,Dice Coefficient,Sensitivity,Specificity,Diameters
IMD003.bmp,0.3300378538652812,0.7744005132729168,0.1876250335141378,112
IMD004.bmp,0.6751338312240962,0.7850717949919187,0.0654927778881353,90
IMD006.bmp,0.24558753276264994,0.2946297185520222,0.09555133395674856,55
IMD008.bmp,0.10296849389910763,0.10946333152636878,0.0676338084039328,32
IMD009.bmp,0.3053661277552167,0.47724732556282934,0.10616288694775916,65
IMD010.bmp,0.1120894650306415,0.1716360458583883,0.11682311471742937,54
IMD013.bmp,0.2303247315900314,0.22644596393834765,0.09410933974774816,53
IMD014.bmp,0.34482878801080424,0.21315925542916236,0.00855401362276402,41
IMD015.bmp,0.77215018908698,0.9582162540546403,0.07914631638859172,124
IMD016.bmp,0.6241376143319449,0.7828237653819049,0.07371014811959693,85
IMD017.bmp,0.7670694997889848,0.7763832970684439,0.11733823043171318,191
IMD018.bmp,0.47056048157488,0.7267268021809593,0.0682361175099255,56
IMD019.bmp,0.4931205099750519,0.7092283691347654,0.06147891205307256,54
IMD020.bmp,0.5330506841395259,0.8791947601618185,0.09562691901403882,83
IMD021.bmp,0.5841380243436778,0.9914101037591427,0.10926364537135651,100
IMD022.bmp,0.5666803691953102,0.6717366496464062,0.13238787840545188,123
IMD023.bmp,0.1532217031847515,0.09463921571973413,0.2942163113818043,58
IMD024.bmp,0.3301735165808377,0.5441963561658647,0.08102466413675521,53
IMD025.bmp,0.5063083843497712,0.9329814829082878,0.18720472764983787,141
IMD027.bmp,0.5765653030399311,0.6056585365853658,0.07083787459936486,83
IMD030.bmp,0.6135871894574316,0.5311308483485833,0.11367295220586368,141
IMD031.bmp,0.9239400830637499,0.8652313742480545,0.00857402064308873,260
IMD032.bmp,0.3137499493742659,0.18743769658843454,0.0033792462022233048,39
IMD033.bmp,0.6815101745156766,0.5188276336785457,0.0007859678539147749,66
IMD035.bmp,0.0014629470816728044,0.0013408337828465747,0.07210368094061059,27
IMD036.bmp,0.6484049084532454,0.6790732322683081,0.15073773078743885,163
IMD037.bmp,0.0929831879431981,0.08618110302398682,0.06035196057956916,28
IMD038.bmp,0.57266118079412,0.8498566470499472,0.06623796839925122,65
IMD039.bmp,0.40641374767742505,0.6172913244736449,0.05913155041920694,44
IMD040.bmp,0.4536436226439642,0.7824903924373755,0.07408155227511803,58
IMD041.bmp,0.6849932670837098,0.7707200598371738,0.07545791967168593,105
IMD042.bmp,0.7401819888784574,0.9307138381627816,0.09861983742230644,135
IMD043.bmp,0.5001532116328133,0.9389190833234154,0.1899597937944641,140
IMD044.bmp,0.703604715688384,0.9169023853915063,0.30176441961920925,257
IMD045.bmp,0.05469229196483337,0.08061680646943593,0.0936025579697374,41
IMD047.bmp,0.6030923626680734,0.952981571713523,0.18091595561490487,157
IMD048.bmp,0.4111598854589509,0.8800747638372034,0.18745874934590595,124
IMD049.bmp,0.490472659406947,0.98517254075041,0.15947632756845356,120
IMD050.bmp,0.5698628392636251,0.7307239243769025,0.1017658931809706,99
IMD057.bmp,0.8060963441795802,0.9399316277018086,0.1372418850592458,206
IMD058.bmp,0.772713095109192,0.8433114862815095,0.30650340205397414,288
IMD061.bmp,0.6733921528827713,0.5958766140024575,0.18486081370449678,203
IMD063.bmp,0.7745523867076693,0.9128872186792745,0.20882499328303317,243
IMD064.bmp,0.8710109645398102,0.9907807061732918,0.545183037969124,396
IMD065.bmp,0.84739066115389,0.9170552767779734,0.2770364703632325,318
IMD075.bmp,0.5996439578109148,0.7587192404572757,0.11832588258008941,119
IMD076.bmp,0.5215442975661314,0.6270661246942701,0.13720316622691292,117
IMD078.bmp,0.7135170314963517,0.8750576146954009,0.0731044646184747,103
IMD080.bmp,0.8587351026158474,0.9280534093565134,0.2593446149118764,318
IMD085.bmp,0.3633973811439044,0.9163739021329987,0.4368197194454344,237
IMD088.bmp,0.5454074128548316,0.7406266383722382,0.4108680744003669,245
IMD090.bmp,0.8452249210902788,0.8693037797305797,0.25255623721881393,310
IMD091.bmp,0.9267209208219055,0.8788944569336941,0.018105109065674176,260
IMD092.bmp,0.1693238815540974,0.6952319122844983,0.1057922237914228,55
IMD101.bmp,0.3547920640432282,0.29563966277839215,0.24691944378479644,121
IMD103.bmp,0.1419978537095654,0.19305085576970232,0.07785712141077095,39
IMD105.bmp,0.07377424524907598,0.10482165679098408,0.09426771192767924,42
IMD107.bmp,0.09501060684517347,0.10698566753188128,0.07875441764678488,36
IMD108.bmp,0.007222087839939183,0.006844380403458214,0.07210163798509762,28
IMD112.bmp,0.007267342326919126,0.004823562163728403,0.10737447955861276,29
IMD118.bmp,0.4666282863174055,0.6553471323846486,0.11667943415926743,91
IMD120.bmp,0.4846998012450065,0.4739218553580133,0.13168647780322612,111
IMD125.bmp,0.3136305584581447,0.3598039346271162,0.09653083291375368,62
IMD126.bmp,0.3592029699814131,0.3830392536267506,0.1039261572724821,72
IMD132.bmp,0.033539823008849556,0.0531109865470852,0.07324486654722194,32
IMD133.bmp,0.22700458978345447,0.33010969040046734,0.09252236644183964,52
IMD134.bmp,0.40231675265258443,0.5739480627690599,0.0962485829663412,70
IMD135.bmp,0.7330896138863697,0.7311724648616729,0.12384236323041761,184
IMD137.bmp,0.17008115095326987,0.19003403438345406,0.07810155159139252,41
IMD138.bmp,0.48611907942277793,0.5164619393262609,0.09816511006336527,88
IMD139.bmp,0.42040076937950965,0.9034226353198469,0.13868896066882005,96
IMD140.bmp,0.4694664305420025,0.7756722864706702,0.09841598519775198,77
IMD142.bmp,0.30753278343442536,0.3141955936469501,0.06059410554521456,43
IMD143.bmp,0.07231033518437138,0.10480197637612908,0.056051951059477405,26
IMD144.bmp,0.27932225999796195,0.5799130668923337,0.08067742301298338,49
IMD146.bmp,0.30402771762667824,0.3493696084936961,0.08408572146404307,55
IMD147.bmp,0.4594288969116206,0.39134095352255377,0.1425729414166511,115
IMD149.bmp,0.8001168476401513,0.9456433161434001,0.1209829255210002,185
IMD150.bmp,0.737086419464743,0.719305743118116,0.07698346499190423,147
IMD152.bmp,0.8595430107526881,0.9082516687970459,0.05999667608442746,163
IMD153.bmp,0.7278216769335195,0.5844865090017124,0.008613701680981897,115
IMD154.bmp,0.76654570261794,0.629616947094806,0.009277142244011952,163
IMD155.bmp,0.8350976409283569,0.7979468062063226,0.03742792887976575,149
IMD156.bmp,0.19404936539320108,0.23446229722960737,0.03700629920120049,21
IMD157.bmp,0.7933242248661155,0.6965944814662381,0.010421360110098605,82
IMD159.bmp,0.3445702321172525,0.4055386092752641,0.22603087838815755,124
IMD160.bmp,0.5549543935846433,0.5026619717123386,0.1805971472477245,156
IMD161.bmp,0.5865359646844975,0.5258386422345288,0.13746355080775555,147
IMD162.bmp,0.12378445172728737,0.11712248188116367,0.07181935365810996,35
IMD164.bmp,0.6044261376099832,0.7459018858844407,0.10571484756786584,111
IMD166.bmp,0.2937329358042339,0.2198260620465237,0.1441954984642203,80
IMD168.bmp,0.6622200374622085,0.9828618841436665,0.15395892680484868,155
IMD169.bmp,0.6847745722586089,0.9367414490621552,0.1141765382437253,131
