image,x,y,distances
1ffa95ff-8d87-11e8-9daf-6045cb817f5b..JPG,1567,1670,318.4776287276706
1ffa9603-8d87-11e8-9daf-6045cb817f5b..JPG,1711,1682,455.0560405049031
1ffa9609-8d87-11e8-9daf-6045cb817f5b..JPG,1185,1195,240.44126101815388
1ffa9629-8d87-11e8-9daf-6045cb817f5b..JPG,1480,1636,225.8782858089728
1ffa962f-8d87-11e8-9daf-6045cb817f5b..JPG,2716,1749,1229.3758579051405
1ffa9640-8d87-11e8-9daf-6045cb817f5b..JPG,1567,1627,300.9136088647371
1ffa965a-8d87-11e8-9daf-6045cb817f5b..JPG,1497,1604,227.30596120647607
